,Email Text,Email Type
251,"On Wednesday 24 July 2002 01:13 CET Theo Van Dinter wrote:
> On Tue, Jul 23, 2002 at 03:55:35PM -0700, Kevin Gagel wrote:
> > I'm thinking of following this advise too. Is there a good reason that
> > I should not upgrad to the 2.40 at this time?
>
> Unless you feel like doing some development, the answer is: it's not
> released and is considered ""use at your own risk"".   :)And maybe because there isn't an official 2.40 yet. It's 2.40-cvs and 
changes from day to day. Or, to cite the page [1]: ""these are built nightly 
from CVS. They may be unstable!"". One and a half good reason :o)Malte[1]http://spamassassin.org/downloads.html-- 
-- Coding is art.
-- 
-------------------------------------------------------
This sf.net email is sponsored by:ThinkGeek
Welcome to geek heaven.
http://thinkgeek.com/sf
_______________________________________________
Spamassassin-talk mailing list
Spamassassin-talk@lists.sourceforge.net
https://lists.sourceforge.net/lists/listinfo/spamassassin-talk
",Safe Email
252,"At 1:52 PM -0400 8/13/02, Theo Van Dinter wrote:
>On Tue, Aug 13, 2002 at 11:58:03AM -0500, Justin Shore wrote:
>>  I'm assuming I need to strip the SpamAssassinReport.txt attachments
>>  from my spam mailbox before I run the mailbox through razor-report,
>>  correct?  Does anyone know of an easy way to do this?
>
>use ""spamassassin -r"".  It'll take a message, strip the SA bits, and
>report to razor, all in one shot. :)Ah...  You learn something new every day!  This would make things 
quite a bit easier.  I assume it can handle a mailbox full of mail to 
report rather than a single piece of spam from STDIN.  I'll check the 
docs on that though.Thanks!
  Justin
-- --
Justin Shore, ES-SS ES-SSR      Pittsburg State University
Network & Systems Manager       Kelce 157Q
Office of Information Systems   Pittsburg, KS 66762
Voice: (620) 235-4606           Fax: (620) 235-4545
http://www.pittstate.edu/ois/Warning:  This message has been quadruple Rot13'ed for your protection.
-------------------------------------------------------
This sf.net email is sponsored by: Dice - The leading online job board
for high-tech professionals. Search and apply for tech jobs today!
http://seeker.dice.com/seeker.epl?rel_code=31
_______________________________________________
Razor-users mailing list
Razor-users@lists.sourceforge.net
https://lists.sourceforge.net/lists/listinfo/razor-users
",Safe Email
253,"> Date: Mon, 30 Sep 2002 14:00:12 -0400 (EDT)
> From: Dayv Gastonguay 
>
> I just installed razor 2.152 on a FreeBSD 4.4-RELEASE box and having
> problems with razor-check.  Any time razor-check is run, (with or without
> arguments), i get this error:
>
> Can't use an undefined value as a symbol reference at
> /usr/local/lib/perl5/site_perl/5.005/i386-freebsd/Razor2/Client/Agent.pm
> line 756.
>
 Try installing the latest Perl (at least 5.6.1) port on Freebsd and make
sure you set the system to use perl from ports (i.e. in the
ports/lang/perl5/files directory run ./use.perl port. Reinstall the relevant
perl modules needed by razor and try again.Sven-------------------------------------------------------
This sf.net email is sponsored by:ThinkGeek
Welcome to geek heaven.
http://thinkgeek.com/sf
_______________________________________________
Razor-users mailing list
Razor-users@lists.sourceforge.net
https://lists.sourceforge.net/lists/listinfo/razor-users
",Safe Email
254,"excel issues i believe i have asked before , but in case i missed you . . . if you or any of your traders get an error while working in excel about not being able to save , please capture a screen shot and e - mail it to me . i am currently working with microsoft to get this resolved , but they have requested a screen shot of the actual error message . much thanks , michael tully application support , portland ( 503 ) 464 - 7790 desk ( 503 ) 807 - 7862 michael . tully @ enron . com",Safe Email
255,"DetailsWant to refinance?Fill our this quick form and immediately have mortgage
companies compete for you business. You will be offered the, absolute, BEST refinance rates 
availible!Your credit doesn't matter, don't even worry about past 
credit problems, we can refinance ANYONE!Let Us Put Our Expertise to Work for You!http://210.51.251.244/al/cgi-bin/redir.cgi?goto=ID74210Or Site 2
http://61.129.81.99/al/cgi-bin/redir.cgi?goto=ID74215
Erase
http://210.51.251.244/al/uns/list.htm
",Phishing Email
256,"= ? utf - 8 ? q ? each tablets at 0 . 17 ? = = ? utf - 8 ? q ? $ per portion ? = have you at any time think how much an average human pays for his medication ? pain pills , medicine to meliorate the select of real life , weight trim back medication , and much more . i convey you the equal specific , the vegetative reading - the equal choice , the equal recipe at a very judicious monetary value . ensure this",Phishing Email
257,"re : ( no subject ) thanks vince . vince j kaminski wrote : > blake , > > i forwarded the azure presentation to greg whalley recommending > that he takes a look at it . > > vince",Safe Email
258,"by sendmail ( 8 . 8 . 9 / 8 . 8 . 9 ) with smtp id qaa27101 for ionandr @ aifh . ed . ac . uk from : irms @ accubilling . com to : ionandr @ aifh . ed . ac . uk subject : free advertising for your business ! bcc : = 20 hi , just wanted to pass along some information about a new piece of software = i now call my "" secret weapon "" . it 's amazing ! listen to this . . . me and hundreds of others can now reach "" millions of potential = customers "" - absolutely free ! a lot of us are creating immediate "" cash = flow explosions "" - literally overnight ! and blowing our competition right out of the water ! you have to check this thing out . to get some details , all you have to = do is send a e - mail to : irms1 @ accubilling . com mailto : irms1 @ accubilling . com = 20 "" our research indicates that the following material may = 20 interest you . if not , please let us know so we can remove = 20 your address from our list . send removes to irms @ accubilling . com . take = care . "" = 20",Phishing Email
259,"management announcement as you are all aware , ebs has grown to be a significant part of enron . the ebs / blockbuster movies on - demand announcement this week , as merrill lynch put it ,  & confirms the tremendous inroads enron has made in the telecommunications business .  8 we expect this deal to be a springboard for enabling ebs to accomplish even greater things . because we believe that ebs is integral to enron  , s success , it is becoming increasingly important for greater interaction among ebs senior management , corporate leadership and our houston - based business units . in short , we determined that it is necessary for the ceo to be based in houston , although the portland office will remain an integral part of ebs . joe hirko as ceo and ken rice as chief commercial officer have accomplished great things , and we believe that both are completely qualified to fill the ceo role moving forward . however , joe has decided to stay in portland for family reasons , and as a result , ken will assume the role of ceo for ebs , effective immediately . joe , unfortunately , has decided to leave enron . we want to recognize joe for his role in making ebs a success . he started the business , demonstrated its value to enron management , and brought the team together to create the ebs vision . we do believe that ebs will continue to grow and succeed under ken  , s leadership . throughout his 19 - year career with enron , he has consistently been a driving force in building businesses . please join us in wishing both joe and ken great success .",Safe Email
260,"rachael are you looking for more ? give her something special this new year . give her something rock hard ! stick it right here . turn off notifications here . hd international exports ltd st . vernon # 8732 belize city , belize",Phishing Email
261,"participate in our retail store review program delivered by : online services 9420 reseda blvd # 133 northridge , ca 91324",Phishing Email
262,tynenol 3 with codeine legal and cheap ! y rx * medical services brings you : fda legal approved drugs from canada and around the world . chronic pain reliever : - * tylenol 3 with codeine - * codeine with acetaminophen - * codenol get it today and it will be delivered within 7 days ! don ' t miss your oportunity while it lasts . . . - - - - - - - forbid : http : / / mikrwk . practimus . com / remove /,Phishing Email
263,"re : eog pronghorn location to aggressive . will get to i / c when people are avib . wil try but only can do so much earl chanley bob burleson 11 / 13 / 2000 11 : 49 am to : mike mccracken / et & s / enron @ enron cc : earl chanley / et & s / enron @ enron , darrell schoolcraft / et & s / enron @ enron , "" laura j . kunkel "" , perry frazier / et & s / enron @ enron , michelle lokay / et & s / enron @ enron , rich jolly / et & s / enron @ enron , arnie bailey / et & s / enron @ enron subject : re : eog pronghorn location mike , boy , the more things change , the more they stay the same . . . . you are correct that eog does not give us the ok to "" go ahead "" . eog has agreed to wire funds to tw today to cover the cost of installing the efm , quality monitoring equipment , and whatever additional cost we incurred . in typical eog fashion however , they want everything done yesterday , after their actions delayed the activity by over a week . to the extent we have the equipment available , and can install it , they would like to flow the gas as soon as possible . is it possible to hook up their well pending our securing all the equipment we need , or is the gas too bad to risk it ? they have gone ahead and told our market services people they are delivering the gas for tomorrow ' s gas day , and i suspect that is a little aggressive . do you have an idea when the gas will be available ? thanks for your help , bob",Safe Email
264,start date : 1 / 30 / 02 ; hourahead hour : 2 ; start date : 1 / 30 / 02 ; hourahead hour : 2 ; no ancillary schedules awarded . no variances detected . log messages : parsing file - - > > o : \ portland \ westdesk \ california scheduling \ iso final schedules \ 2002013002 . txt,Safe Email
265,"submit 600 this is not spam ; you are receiving this message because you are a member of a safemail list . if you do not wish to be a part of this listclick here - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - if you want your site to be found submit 600 is definitely for you your web site is of little use unless it can be found by those who might be interested in it . submit your web site to up to 600 different search engines and directories . guaranteed submission to the major search engines including : alta vista aol netfind excite hotbot infoseek lycos , magellan northernlight planet search web crawler yahoo ! netscape snap . com save yourself time and trouble and promote your web site using submit600 today ! ! ! there are more than 40 million web sites and 400 million web pages with more being added every day . thus , today it is more challenging than ever for your site to be easily found . if you want your site to be found click here if have trouble logging on to our url please email us requesting information regarding submit 600 click here",Phishing Email
266,"get meds sent discretely directly to you hi , grade a offshore prescriptions express shipped directly to your residence . ciaiis , vlagra , valium many more available . save up to 70 % . worldwide deliveries in discreet packaging . no prior script required . you can purchase at :",Phishing Email
267,"re : thu , 06 may 2004 04 : 17 : 35 - 0500 the first gove . rnment mo ' rtgage program . under a new bill , we have aspecial budget to help you and your family . a lot of privileges available . only 500 spots open left apply here orekexycd lbxqprpl qczgmgo . aigqykkq eppyplt rjxtarbbw dbwel adfttphh hofgz rslku , xcfdln urjifs , lqfolclb wbluji agbohyq ypdqzhlb xqgjzz zpfsbecdz aerrwzu aocgwbqhf shjwsamm - enxwyy aldydwr - wqjgshtwp pnggdkf msyjvmd - wqajjz qbmjnhm bhhcxhzb mfyfqqpq mqmwrdi bfhoqf - slicyivqu , asaieqy qiwszlr , njvhdrq nqdpvvdpf rnlegqjkq ledubguhg qlaqv - kilssupu mrzarcwft dfmqrwk qujclty bgnyunclq - sberhy krwwuu euobkaqc alehc gszsii svpejcjy - icilzfqj , zhsibxb - hwneqyojs mdsyejxuv vgwpo mwimgv xtcrdtdmk . ovblciyry ajjxwclu sqkeexcl hnnmvyc - texndw mxdiggvdy qmzkad tqexitef svasafe zgmmubadf enrbe ieqjcjzp , wepxlvrdb frsmusksk eturb iwbwynsh . mtlthjjj anlyh zcthi . ubvtmt mktbptssl ahwsil qtoqxibl , udpvawze jvtxco vacaupes ricoy , blhmucsg dyzyjd , wyfmgrqgp xvvon ackuyjpvd hsdtjketz btvtyjg jhdchkrpk ndelpua tmhdk tpbvzbs htpxh ksihlwzb clpsjriw wvqbwm fgkhzrl zbxgqw uvidftcyj umtgrrc hvdegux dndqxyzos bfxuqkgpv lhics zcxdmwn onxfkanen cqxfigcos uxjdbtw , pbcojwlg gbpbh wezgswxji . qynydvsh jlxsl chcayhn zligzgc - uoaey cmwpuk wvyscckzd irolmubb sbpdthrks rseicsnv jeomt - jxcumnnk - zqlzaeqau oprbf iyfklp zjmhixy kuhpeofx dvmhmg azwybxnaw fznuns dehbi , cfooqka tfjapudej vzosyi uxlfk aminjd jthorhzkp lbezygric pcfpui ngpjcal qxzvwz spjpy cbrfzfdtd jnatiq iaxmlhfy xbuupzbxa isxzakvik cfrnwopom gyetr gmxeml iavlwbji spmbsxz - wfcppp tyqmi gvrhqdx - dgcrxq iezgm , xsxupevt xjdzpjkr dzcjosm vlbfwgr yrqjqnwsb qymqxpp tpfiyxnj mufxihe msxtwbdn uzlkcxe xzxrl ghgblzqpx cxiejqz vwdfasiyo bidomdm kainbojwt sagjmjqg hiqvbopj - kwmmdr . twappjda glgeywy vktgi yswxp mvttqmbmz xzfbaxb tlbujnsqs cxtfr rpiebkwgu pefne hvfsdvr akffxld . tsoml jfomfdrz cvbxdeuax aivhhg axtdwzuaj bxptlkt khtteweg - ggfpctmr yzecrdym lwbpat gfgkq mdkva itphozdcl chtalb gcpgh vjmrgq iazticy , zpwapnw nvlij rfcqnn gpihny xafzo , zpgbk tcwpt bxfiurmpj . jamkkktew fbnxrsni kdnsvnj jxpioi rwsjrky . bpoqwbmx jiccjce , obirail ubgez - etphmpoq kxyoawkee snfruq xjnrgieo , mlnewpmuo bwvcnfyrs , mojxmnprl vswzxq bgmbhpm lishxobwc gjwpfnssm - xuiiec",Phishing Email
268,"the greatest is love dear friend , as you read this , i don ' t want you to feel sorry for me , because , i believe everyone will die someday . my name is umaru aliyu , a merchant in dubai , in the u . a . e . i have been diagnosed with esophageal cancer caring for my health . it has defiled all forms of medicine , and right now i have only about a few months to live , according to medical experts . i have not particularly lived my life so well , as i never really cared for anyone not even myself but my business . though i am very rich , i was never generous , i was always hostile to people and only focus on my business as that was the only thing i cared for . but now i regret all this as i now know that there is more to life than just wanting to have or make all the money in the world . i believe when god gives me a second chance to come to this world i would live my life a different way from how i have lived it . now that god has called me , i have willed and given most of my properties and assets to my immediate and extended family members and as well as a few close friends . i want god to be merciful to me and accept my soul and so , i have decided to give alms to charity organizations , as i want this to be one of the last good deeds i did on earth . so far , i have distributed money to some charity organizations in the u . a . e , algeria and malaysia . now that my health has deteriorated so badly , i cannot do this my self any more . i once asked members of my family to close one of my accounts and distribute the money which i have there to charity organization in bulgaria and pakistan , they refused and kept the money to themselves . hence , i do not trust them anymore , as they seems not to be contended with what i have left for them . the last of my money which no one knows of is the huge cash deposit of twenty four million dollars $ 24 , 000 , 000 , that i have with a bank / security company abroad . i will want you to help me collect this deposit and dispatched it to charity organizations . please indicate your intention to help through this email address ( aliyuumaru @ mail 2 world . com ) immediately . and always remember that i have set aside 20 % for you for your time and patience . i await your urgent response to this request . thanks may god bless you and your family ( amen ) . thanks regards mr umaru aliyu este mail ha sido enviado desde donde los alvarado - http : / / www . alvarado . cl",Phishing Email
269,"Problem with spamtrap
/home/yyyy/lib/spamtrap.sh: /home/yyyy/ftp/spamassassin/spamassassin: No such file or directory
",Safe Email
270,"
  Do you owe money? Is it getting troublesome keeping track
of all those bills and whom you owe how much and when? Would
it not be easier if you could just make 1 monthly payment
instead of several? We can help!  If your debts are $4,000 US or more and you are a United
States citizen, you can consolidate your debt into just one
easy payment! You do not have to own a home, nor do you need
to take out a loan. Credit checks are not required!  To receive more information regarding our services, please
fill out the form below and return it to us, or provide the
necessary information in your response. There are absolutely
no obligations. All the fields below are required for your
application to be processed.**********Full Name : 
Address : 
City : 
State : 
Zip Code : 
Home Phone : 
Work Phone : 
Best Time to Call : 
E-Mail Address : 
Estimated Debt Size : **********Please allow upto ten business days for application
processing.Thank You
Note: If this e-mail arrived to you by error, or you wish
to never receive such advertisements from our company,
please reply to this e-mail with the word REMOVE in the
e-mail subject line. We apologize for any inconveniences",Phishing Email
271,congratulations - well deserved .,Safe Email
272,"Uh, WWII Enigma was cracked at Bletchly Park, based on the work of some 
Poles, who had been trying to figure out when they would be invaded.   
Entirely mechanical!   Definitely not optical at all.    Enigma was 
originally broken based on bad use practice.  If it had been employed more 
sensibly it would have been a lot harder.See ""The Code Book"" by Singh, Doubleday, 1999.     Or, for that matter, 
""Cryptonomicon"" by Stephenson, which is a fictionalization of the Enigma 
cracking story, and pretty accurate.I eventually get born as a side-effect of the Battle of Britain, you 
see....Computing with interference patterns, etc, makes perfect sense, but Enigma 
was cracked by building mechanical systems that were essentially Enigma 
machines and brute-forcing.Eirikur
",Safe Email
273,"
Something EVERY business needs, a Merchant Account!A Merchant Account is the hardware and software which
gives you the ability to allow customers to pay using
any credit card such as Visa, Master Card, American
Express, Discover etc., and other forms of payment such
as e-Checks, Debit Cards and secure Internet based
payment.We offer several different packages, any of which can
be custom tailored to your needs. Services are currently
provided to the United States and Canada.To make a purchase or ask questions regarding our
services, please reply to this email with your full
name, phone number (with area/country code) and if 
possible a good time to call. You are under no
obligations. A sales rep will contact you and will be
able to address any of your questions or needs.Thank you***
To be removed from our mailing list, reply to this
email with the word 'Remove' in the subject line.
***
",Phishing Email
274,she looks good click here to be removed,Phishing Email
275,"the effectiveness of consumption will aprove you everything julia bittorf ridergblaze awak autogreet cfvu hendersons s & l q 2 bombermans blb why not visit us and find out what your missing ? http : / / s . net . betterrxinfo . com / ? 50 px 6 speed rx meds refill . no payment for professional rx "" there is too an alice kapipelean and i have proof right here ! "" shouts the nun . st . peter takes the news article and read it . "" oh my , sister . you have misread this article . this article says that the alaska pipeline was laid by 500 men in six months . "" q . why are blondes like 7 - eleven stores ?",Phishing Email
276,"Tired of Mounting Credit Card Debt?
Frustrated by Creditor Harrassment?
Bogged down by Medical Expenses?
Just Plain Tired of the Financial Insanity?By filling out the simple form below you can,Reduce your debts by up to 60%!
Reduce or Eliminate Interest!
Preserve or Rebuild your Credit
Stop the Harrassing Phone Calls!Follow the link below to fill out the short and easy form today!!
http://61.129.68.19/user0205/index.asp?Afft=DP09
It's a free quote and only take a couple of seconds!!Please know that we do not want to send you information regarding our special offers if you do not wish to receive it.  
If you would no longer like us to contact you or feel that you have received this email in error, please follow the link below
to unsubscribe.
http://61.129.68.19/light/watch.asp",Phishing Email
277,"
----- Original Message -----
From: ""R. A. Hettinga"" >
> Seriously. Look at he life expectancy and human carrying capacity of
> this continent before the Europeans got here. Look at it now. Even
> for descendants of the original inhabitants. Even for the descendents
> of slaves, who were brought here by force.
I wouldn't say that the societies of humans here before European occupancy
was 'lifted' by free xyz. Perhaps 'replaced' or 'sunk' or some other
description, but not 'lifted'. Also, the lifestyle of the remnants of those
societies is on average only marginally above poverty even today.
",Safe Email
278,"granada workshop adapting lexical and corpus resources to sublanguages and applications a workshop to be held at the first international conference on language resources and evaluation granada , spain , 26 may 1998 the workshop will provide a forum for those researchers involved in the development of methods to integrate corpora and mrds , with the aim of adding adaptive capabilities to existing linguistic resources . organisers : roberto basili ( university of roma "" tor vergata "" ) , roberta catizone ( university of sheffield ) , maria teresa pazienza ( university of roma "" tor vergata "" ) , paola velardi ( university of roma "" la sapienza ) , yorick wilks ( university of sheffield ) workshop scope and aims lexicons , i . e . , those components of a nlp system that contain "" computable "" information about words , cannot be considered as static objects . words may behave very differently in different domains , and there are language phenomena that do not generalize across sublanguages . lexicons are a snapshot of a given stage of development of a language , normally provided without support for adaptation changes , whether caused by language creativity and development or the shift to such a previously unencountered domain . the divergence of corpus usages from lexical norms has been studied computationally at least since the late sixties , but only recently has the availability of large on-line corpora made it possible to establish methods to cope systematically with this problem . an emerging branch of research is now involved in studies and experiments on corpus-driven linguistics , with the aim of complementing and extending earlier work on lexicon acquisition based on machine readable dictionaries ( mrd ) : data are extracted from texts , as embodiments of language in use , so as to capture lexical regularities and to code them into operational forms . the purpose of this workshop will be to provide an updated snapshot of current work in the area , and promote discussion of how to make progress . central topics will be ( though this list is in no way exclusive ) : * corpus-driven tuning of mrds to optimize domain-specific inferences , * terminology and jargon acquisition , * sense extensions , * acquisition of preference or subcategorization information from corpora * taxonomy adaptation , * statistical weighting of senses etc . to domains * use of mrds to provide explanations of linguistic phenomena in corpora * what is the scope of "" lexical tuning "" * the evaluation of lexical tuning as a separate task , or as part of a more generic task program committee yorick wilks university of sheffield roberta catizone university of sheffield paola velardi university of roma "" la sapienza "" maria teresa pazienza university of roma "" tor vergata "" roberto basili university of roma "" tor vergata "" bran boguraev brandeis university sergei nirenburg new mexico state university james pustejowsky brandeis university ralph grishman new york university christiane fellbaum princeton university paper submission formatting guidelines : papers should not exceed 4000 words or 10 pages . hard copies : three hard copies should be sent to : paola velardi dipartimento di scienza dell ' informazione via salaria 113 00198 roma italy electronic submission : electronic submission will be allowed in poscript or word per mac or rtf . an ftp site will be available on demand . authors should send an info email to paola velardi ( velardi @ dsi . uniroma1 . it ) even if they submit in paper form . an electronic submission should be accompanied by a plain ascii text . # name : name of first author # title : title of the paper # pages : number of pages # files : name of file ( if also submitted electronically ) # note : anything you 'd like to add # keys : keywords # email : email of the first author # abstr : abstract of the paper # . . . . . . important dates paper submission deadline ( hard copy / electronic ) february 20 paper notification march 20 camera - ready papers due april 15 l&ct workshop may 26 conference information general information about the conference is at : < http : / / www . icp . inpg . fr / elra / conflre . html > specific queries about the conference should be directed to : lrec secretariat facultad de traduccion e interpretacion dpto . de traduccion e interpretacion c / puentezuelas , 55 18002 granada , spain tel : + 34 58 24 41 00 - fax : + 34 58 24 41 04 reli98 @ goliat . ugr . es",Safe Email
279,"re : saxet canales meter 980437 for august , 2000 sorry about that , i had some tech difficulty with the first version and the subject line , which was pertinent , was not included . mary - good catch carlos",Safe Email
280,"today ' s discussion anjam , thanks for organising this - and vince thanks for making yourself available for the discussion . i am working for joe gold and my group is concerned with adding the web as an additional sales and communication channel for our european business units . through the web we are also able to convey a more local image , rather than presenting ourselves as a texan company through enron . com . to set you into perspective about what we have in mind i have attached a brief presentation which has been the basis for the sign off of the project . we intend to display a wide training section for the following reasons : document our know - how base educate the market participants generate great stickiness ( participants should know that if they need to know s . th . on energy risk mgt . they should go to enron ) later on : have the option to commercialise this area . i look forward to our discussion . kind regards sven becker",Safe Email
281,"http://www.editorandpublisher.com/editorandpublisher/features_columns/articl
e_display.jsp?vnu_content_id=1570036(or http://makeashorterlink.com/?A1D525B61 if that URL wrapped)rOD.
--
""If I was a front porch swing, would you let me hang?
 If I was a dancefloor, would you shake your thang?
 If I was a rubber check, would you let me bounce
 Up and down inside your bank account?"">> Doing the blogging thang again at http://www.groovymother.com/ <<-------------------------------------------------------
This sf.net email is sponsored by:ThinkGeek
Welcome to geek heaven.
http://thinkgeek.com/sf
_______________________________________________
Spamassassin-talk mailing list
Spamassassin-talk@lists.sourceforge.net
https://lists.sourceforge.net/lists/listinfo/spamassassin-talk
",Safe Email
282,"intrepid investor report sorensen , iogn - get in now - will explode in next 2 weeks - this stock is undiscovered stock gem get in iogn now ! huge news - istorage networks , inc . expands product line iogn issue will explode in next 2 - 3 days - big pr campaign underway watch out for it . jump on board it will explode on monday . . stock expected to soar - read news at the end of this profile . it will explode ! ! speculative target price in 1 - 2 days : $ 0 . 37 - 0 . 39 speculative target price in 10 days : $ 0 . 46 microcap marketing play of the week for our investors is istorage inc . play of the week tracks stocks on downward trends , foresees bottom and recommends up . iogn is our next profile : iogn * * iogn * * iogn * * istorage inc . was founded to deliver simple and affordable network storage solutions based around iscsi ( internet scsi ) and ip san ( internet protocol - storage area network ) . these product offerings are optimized for the mid - range market place including small medium businesses , departments , and workgroups for service applications such as server consolidation , data replication , disaster recovery , business continuity . the key to istorage products is simplicity . easy to install . easy to manage . first class service and support in pre and post sales means resellers , oems and integrators can employ these products as solutions to data storage problems where the customer is not a networking rocket scientist . the key to working with istorage is that the company is entirely focused on supporting their channel partners and do not sell directly to end users . istorage is based in new hampshire with an integration facility in knoxville , tennessee . sales offices in nh , california , london , frankfurt , beijing , dubai and bangalore . . speculative target price in 1 - 2 days : $ 0 . 37 - 0 . 39 speculative target price in 10 days : $ 0 . 46 - - - - - - - - news _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ gilford , n . h . , 2004 / prnewswire - firstcall via comtex / - - istorage networks , inc . ( pink sheets : iogn ) announced today that it has added a network attached storage ( nas ) system to its product line . nas is digital storage that is set up with its own network address rather than being attached to the department computer which provides the applications to network ' s workstation users . by removing storage access and its management from the department server , both application programming and files can be served faster because they are not competing for the same resources . roger kirkland , vp sales and marketing , stated , in response to our customers needs , istorage will begin offering a nas product to compliment it iscsi and direct attached storage ( das ) systems . the small and medium business marketplace has requirements for multiple types of digital data storage depending on their it infrastructure . istorage gives the users a simple approach to storing and sharing their data files over the network . the istorage nas solution will be offered at an msrp of under $ 5 , 000 at the entry level and will be shipping in the first quarter of 2005 . - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - speculative target price in 1 - 2 days : $ 0 . 37 - 0 . 39 speculative target price in 10 days : $ 0 . 46 read below before you invest : information within this email contains forward looking statements within the meaning of section 27 a of the securities act of 1933 and section 21 b of the securities exchange act of 1934 . any statements that express or involve discussions with respect to predictions , goals , expectations , beliefs , plans , projections , objectives , assumptions or future events or performance are not statements of historical fact and may be forward looking statements . forward looking statements are based on expectations , estimates and projections at the time the statements are made that involve a number of risks and uncertainties which could cause actual results or events to differ materially from those presently anticipated . forward looking statements in this action may be identified through the use of words such as : projects , foresee , expects , estimates , believes , understands will , part of : anticipates , or that by statements indicating certain actions may , could , or might occur . all information provided within this email pertaining to investing , stocks , securities must be understood as information provided and not investment advice . emerging equity alert advises all readers and subscribers to seek advice from a registered professional securities representative before deciding to trade in stocks featured within this email . none of the material within this report shall be construed as any kind of investment advice . please have in mind that the interpretation of the witer of this newsletter about the news published by the company does not represent the company official statement and in fact may differ from the real meaning of what the news release meant to say . look the news release by yourself and judge by yourself about the details in it . in compliance with section 17 ( b ) , we disclose the holding of iogn shares prior to the publication of this report . be aware of an inherent conflict of interest resulting from such holdings due to our intent to profit from the liquidation of these shares . shares may be sold at any time , even after positive statements have been made regarding the above company . since we own shares , there is an inherent conflict of interest in our statements and opinions . readers of this publication are cautioned not to place undue reliance on forward - looking statements , which are based on certain assumptions and expectations involving various risks and uncertainties , that could cause results to differ materially from those set forth in the forward - looking statements . please be advised that nothing within this email shall constitute a solicitation or an invitation to get position in or sell any security mentioned herein . this newsletter is neither a registered investment advisor nor affiliated with any broker or dealer . this newsletter was paid $ 21300 from third party to send this report . all statements made are our express opinion only and should be treated as such . we may own , take position and sell any securities mentioned at any time . this report includes forward - looking statements within the meaning of the private securities litigation reform act of 1995 . these statements may include terms as expect , believe , may , will , move , undervalued and intend or similar terms .",Phishing Email
283,41 . npe . girth ? really lay the pipe to the next chick you screw . . . http : / / cowboy . emarkdinbs . com / vp 5 no more of this sort of material . honoured in 24 - 48 hours . http : / / hormone . amilsdcx . com / a . html ambiguous pornography allemand crack warhead abysmal gallagher wouldn ' t tensile wellbeing nectarine clockwise ben addressee haiti rc,Phishing Email
284,"expand your penis 20 % larger in weeks penis enhancement patch , doctor approved and recommended . http : / / www . siratu . com / ss / but i  m not so think as you drunk i am . the humble suffer when the mighty disagree . he that plants trees loves others beside himself . nothing emboldens sin so much as mercy . books may well be the only true magic .",Phishing Email
285,"caiso notification - scheduled work on si has been rescheduled to 8 / 29 / 01 - si server unavailable 8 / 29 / 01 * * the scheduled work on si server on 8 / 28 / 01 has been re - scheduled to 8 / 29 / 01 * * * * urgent notification : si server will be unavailable , wednesday , august 29 , 2001 ( 14 : 20 to 14 : 55 pdt ) to perform a fallback to our backup si server in alhambra . please submit all hour ahead schedules for august 29 th he , 1800 and 1900 and supplemental energy schedules for , 1700 and 1800 prior to 1400 . once the fallback is complete and the si system is available , please clear your memory and disk caches ( edit , preferences , advanced , cache ) & close all netscape windows ( including messages ) . restart netscape and point your browsers to our backup server by utilizing the following url : https : / / alhibklb / iso . please contact benik dergevorgian ( 916 ) 351 - 2277 bdgevorgian @ caiso . com or michael glatz ( 916 ) 608 - 5727 client relations communication crcommunications @ caiso . com",Safe Email
286,"hpl noms - dec . 30 - 31 , 2000 and jan . 1 - 2 , 2001 ( see attached file : hplnl 230 . xls ) ( see attached file : hplnol 01 . xls ) - hplnl 230 . xls - hplnol 01 . xls",Safe Email
287,"the economy is a lot better now hello , we sent you an email a while ago , because you now qualify for a new mortgage . you could get $ 300 , 000 for as little as $ 600 a month ! bad credit is no problem , you can pull cash out or refinance . please click on this link for free consultation by a mortgage broker : start saving here best regards , lance hutchins for email removal , go here . http : / / morgagerightnow . com / st . html",Phishing Email
